################################################
# This is the AirStation log File.
# Host Name = AP84AFEC866D20
# Model  = WAPM-1266R Ver1.05
# LAN MAC  = 84:AF:EC:86:6D:20
# Date  = 2017/12/01
################################################

2017/12/01 17:21:48   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:44   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:33   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:29   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:18   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:14   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:21:03   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:20:59   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:20:47   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:20:43   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:20:31   WIRELESS wl0.0 (5GHz): DisAssociated User - 1c:7b:21:22:03:b0
2017/12/01 17:20:27   WIRELESS wl0.0 (5GHz): Associated User - 1c:7b:21:22:03:b0
2017/12/01 17:12:41  WIRED et0: link up(100 Mbps Full duplex)
2017/12/01 17:12:41  WIRED et1: link down
2017/12/01 17:02:37   AUTH wl0.0 (5GHz): Authenticated (WPA2-PSK) User - bc:5c:4c:92:5a:eb
2017/12/01 17:02:37   WIRELESS wl0.0 (5GHz): Associated User - bc:5c:4c:92:5a:eb
2017/12/01 16:57:52   AUTH wl1.0 (2.4GHz): Authenticated (WPA2-PSK) User - 3c:77:e6:3a:61:2e
2017/12/01 16:57:52   WIRELESS wl1.0 (2.4GHz): Associated User - 3c:77:e6:3a:61:2e
