################################################
# This is the AirStation log File.
#	Host Name	= AP84AFEC866D20
#	Model		= WAPM-1266R Ver1.05
#	LAN MAC		= 84:AF:EC:86:6D:20
#	Date		= 2017/01/01
################################################

2017/01/01 00:13:11   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:13:07   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:13:05   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:13:01   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:12:59   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:12:55   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:12:54   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:12:50   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:12:04   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:44       AUTH wl1.0 (2.4GHz): Authenticated (WPA2-PSK) User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:44   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:38   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:37       AUTH wl1.0 (2.4GHz): Authenticated (WPA2-PSK) User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:37   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:28   WIRELESS wl1.0 (2.4GHz): DisAssociated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:12       AUTH wl1.0 (2.4GHz): Authenticated (WPA2-PSK) User - e0:b9:a5:dd:0b:9e
2017/01/01 00:11:12   WIRELESS wl1.0 (2.4GHz): Associated User - e0:b9:a5:dd:0b:9e
2017/01/01 00:09:59   WIRELESS wl0 (5GHz): Start sending beacon
2017/01/01 00:09:55   WIRELESS wl0 (5GHz): Switch Channel 48 / 80 MHz
